Country;Protected area;Question;Type of value;Stakeholder;Value;Potential (value)
Bosnia and Herzegovina;PP Bijambare;Nature conservation;Importance of value;Local people living in the PA;0;0
Bosnia and Herzegovina;PP Bijambare;Nature conservation;Economic importance of value;Local people living in the PA;0;0
Bosnia and Herzegovina;PP Bijambare;Jobs in Protected Areas;Importance of value;Local people living in the PA;0;0
Bosnia and Herzegovina;PP Bijambare;Jobs in Protected Areas;Economic importance of value;Local people living in the PA;0;0
Bosnia and Herzegovina;PP Bijambare;Hunting;Importance of value;Local people living in the PA;0;0
Bosnia and Herzegovina;PP Bijambare;Hunting;Economic importance of value;Local people living in the PA;0;0
Bosnia and Herzegovina;PP Bijambare;Wild food plants and mushrooms;Importance of value;Local people living in the PA;0;0
Bosnia and Herzegovina;PP Bijambare;Wild food plants and mushrooms;Economic importance of value;Local people living in the PA;0;0
Bosnia and Herzegovina;PP Bijambare;Fishing;Importance of value;Local people living in the PA;0;0
Bosnia and Herzegovina;PP Bijambare;Fishing;Economic importance of value;Local people living in the PA;0;0
Bosnia and Herzegovina;PP Bijambare;Traditional agriculture;Importance of value;Local people living in the PA;0;0
Bosnia and Herzegovina;PP Bijambare;Traditional agriculture;Economic importance of value;Local people living in the PA;0;0
Bosnia and Herzegovina;PP Bijambare;Livestock grazing;Importance of value;Local people living in the PA;0;0
Bosnia and Herzegovina;PP Bijambare;Livestock grazing;Economic importance of value;Local people living in the PA;0;0
Bosnia and Herzegovina;PP Bijambare;Commercial & non-commercial water use;Importance of value;Local people living in the PA;0;0
Bosnia and Herzegovina;PP Bijambare;Commercial & non-commercial water use;Economic importance of value;Local people living in the PA;0;0
Bosnia and Herzegovina;PP Bijambare;Cultural & historical values;Importance of value;Local people living in the PA;0;0
Bosnia and Herzegovina;PP Bijambare;Cultural & historical values;Economic importance of value;Local people living in the PA;0;0
Bosnia and Herzegovina;PP Bijambare;Specific site value;Importance of value;Local people living in the PA;0;0
Bosnia and Herzegovina;PP Bijambare;Medicinal herbs;Importance of value;Local people living in the PA;0;0
