Country	Protected area	Group name	Question	Type of value	Stakeholder	Value	Potential (value)
Bosnia and Herzegovina	PP Bijambare	Nature conservation values	Nature conservation	Importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Bijambare	Nature conservation values	Nature conservation	Economic importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Bijambare	Management values	Jobs in Protected Areas	Importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Bijambare	Management values	Jobs in Protected Areas	Economic importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Bijambare	Values related to food	Hunting	Importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Bijambare	Values related to food	Hunting	Economic importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Bijambare	Values related to food	Wild food plants and mushrooms	Importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Bijambare	Values related to food	Wild food plants and mushrooms	Economic importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Bijambare	Values related to food	Fishing	Importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Bijambare	Values related to food	Fishing	Economic importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Bijambare	Values related to food	Traditional agriculture	Importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Bijambare	Values related to food	Traditional agriculture	Economic importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Bijambare	Values related to food	Livestock grazing	Importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Bijambare	Values related to food	Livestock grazing	Economic importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Bijambare	Values related to water	Commercial & non-commercial water use	Importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Bijambare	Values related to water	Commercial & non-commercial water use	Economic importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Bijambare	Cultural and historical values	Cultural & historical values	Importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Bijambare	Cultural and historical values	Cultural & historical values	Economic importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Bijambare	Cultural and historical values	Specific site value	Importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Bijambare	Health and recreation values	Medicinal herbs	Importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Bijambare	Health and recreation values	Medicinal herbs	Economic importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Bijambare	Health and recreation values	Medicinal herbs	Economic importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Bijambare	Health and recreation values	Tourism & recreation	Importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Bijambare	Health and recreation values	Tourism & recreation	Economic importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Bijambare	Knowledge	Building knowledge	Importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Bijambare	Knowledge	Building knowledge	Economic importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Bijambare	Knowledge	Formal & informal education	Importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Bijambare	Knowledge	Formal & informal education	Economic importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Bijambare	Knowledge	Genetic material	Importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Bijambare	Knowledge	Genetic material	Economic importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Bijambare	Environmental services	Climate change mitigation	Importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Bijambare	Environmental services	Climate change mitigation	Economic importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Bijambare	Environmental services	Soil stabilization	Importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Bijambare	Environmental services	Soil stabilization	Economic importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Bijambare	Environmental services	Flood prevention	Importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Bijambare	Environmental services	Flood prevention	Economic importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Bijambare	Environmental services	Water quality & quantity	Importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Bijambare	Environmental services	Water quality & quantity	Economic importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Bijambare	Environmental services	Pollination & honey production	Importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Bijambare	Environmental services	Pollination & honey production	Economic importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Bijambare	Materials	Nature materials	Importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Bijambare	Materials	Nature materials	Economic importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Bijambare	Materials	Wood	Importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Bijambare	Materials	Wood	Economic importance of value	Local people living in the PA	0	0
Montenegro	NP Biogradska Gora	Nature conservation values	Nature conservation	Importance of value	Local people living in the PA	0	0
Montenegro	NP Biogradska Gora	Nature conservation values	Nature conservation	Economic importance of value	Local people living in the PA	0	0
Montenegro	NP Biogradska Gora	Management values	Jobs in Protected Areas	Importance of value	Local people living in the PA	0	0
Montenegro	NP Biogradska Gora	Management values	Jobs in Protected Areas	Economic importance of value	Local people living in the PA	0	0
Montenegro	NP Biogradska Gora	Values related to food	Hunting	Importance of value	Local people living in the PA	0	0
Montenegro	NP Biogradska Gora	Values related to food	Hunting	Economic importance of value	Local people living in the PA	0	0
Montenegro	NP Biogradska Gora	Values related to food	Wild food plants and mushrooms	Importance of value	Local people living in the PA	0	0
Montenegro	NP Biogradska Gora	Values related to food	Wild food plants and mushrooms	Economic importance of value	Local people living in the PA	0	0
Montenegro	NP Biogradska Gora	Values related to food	Fishing	Importance of value	Local people living in the PA	0	0
Montenegro	NP Biogradska Gora	Values related to food	Fishing	Economic importance of value	Local people living in the PA	0	0
Montenegro	NP Biogradska Gora	Values related to food	Traditional agriculture	Importance of value	Local people living in the PA	0	0
Montenegro	NP Biogradska Gora	Values related to food	Traditional agriculture	Economic importance of value	Local people living in the PA	0	0
Montenegro	NP Biogradska Gora	Values related to food	Livestock grazing	Importance of value	Local people living in the PA	0	0
Montenegro	NP Biogradska Gora	Values related to food	Livestock grazing	Economic importance of value	Local people living in the PA	0	0
Montenegro	NP Biogradska Gora	Values related to water	Commercial & non-commercial water use	Importance of value	Local people living in the PA	0	0
Montenegro	NP Biogradska Gora	Values related to water	Commercial & non-commercial water use	Economic importance of value	Local people living in the PA	0	0
Montenegro	NP Biogradska Gora	Cultural and historical values	Cultural & historical values	Importance of value	Local people living in the PA	0	0
Montenegro	NP Biogradska Gora	Cultural and historical values	Cultural & historical values	Economic importance of value	Local people living in the PA	0	0
Montenegro	NP Biogradska Gora	Cultural and historical values	Specific site value	Importance of value	Local people living in the PA	0	0
Montenegro	NP Biogradska Gora	Health and recreation values	Medicinal herbs	Importance of value	Local people living in the PA	0	0
Montenegro	NP Biogradska Gora	Health and recreation values	Medicinal herbs	Economic importance of value	Local people living in the PA	0	0
Montenegro	NP Biogradska Gora	Health and recreation values	Medicinal herbs	Economic importance of value	Local people living in the PA	0	0
Montenegro	NP Biogradska Gora	Health and recreation values	Tourism & recreation	Importance of value	Local people living in the PA	0	0
Montenegro	NP Biogradska Gora	Health and recreation values	Tourism & recreation	Economic importance of value	Local people living in the PA	0	0
Montenegro	NP Biogradska Gora	Knowledge	Building knowledge	Importance of value	Local people living in the PA	0	0
Montenegro	NP Biogradska Gora	Knowledge	Building knowledge	Economic importance of value	Local people living in the PA	0	0
